Anio mes,Codigo IATA,Descripcion,Estado,Pasajeros nacionales,Pasajeros internacionales
201507,CEN,Ciudad Obregon,Sonora,21570,487
201507,CLQ,Colima,Colima,10033,106
201507,CME,Ciudad del Carmen,Campeche,50061,2800
201507,CPE,Campeche,Campeche,16645,237
201507,CTM,Chetumal,Quintana Roo,15958,10
201507,CVM,Ciudad Victoria,Tamaulipas,5404,108
201507,GYM,Guaymas,Sonora,1197,186
201507,LTO,Loreto,Baja California  Sur,1135,3247
201507,MAM,Matamoros,Tamaulipas,8553,38
201507,NLD,Nuevo Laredo,Tamaulipas,7499,29
201507,NOG,Nogales,Sonora,192,29
201507,PAZ,Poza Rica,Veracruz,5501,0
201507,PBC,Puebla,Puebla,26609,5315
201507,PXM,Puerto Escondido,Oaxaca,18641,236
201507,TCN,Tehuacan,Puebla,239,0
201507,TPQ,Tepic,Nayarit,10253,0
201507,TSL,Tamuin,San Luis Potosi,162,0
201507,UPN,Uruapan,Michoacan,9260,1490
201508,CEN,Ciudad Obregon,Sonora,20323,456
201508,CLQ,Colima,Colima,9536,82
201508,CME,Ciudad del Carmen,Campeche,44891,2573
201508,CPE,Campeche,Campeche,15269,310
201508,CTM,Chetumal,Quintana Roo,16071,30
201508,CVM,Ciudad Victoria,Tamaulipas,5372,134
201508,GYM,Guaymas,Sonora,905,110
201508,LTO,Loreto,Baja California  Sur,952,2908
201508,MAM,Matamoros,Tamaulipas,8696,56
201508,NLD,Nuevo Laredo,Tamaulipas,5857,54
201508,NOG,Nogales,Sonora,131,7
201508,PAZ,Poza Rica,Veracruz,5021,0
201508,PBC,Puebla,Puebla,24785,7042
201508,PXM,Puerto Escondido,Oaxaca,18267,209
201508,TCN,Tehuacan,Puebla,164,0
201508,TPQ,Tepic,Nayarit,9767,0
201508,TSL,Tamuin,San Luis Potosi,187,0
201508,UPN,Uruapan,Michoacan,9730,1197
201509,CEN,Ciudad Obregon,Sonora,17764,473
201509,CLQ,Colima,Colima,7267,60
201509,CME,Ciudad del Carmen,Campeche,44283,2227
201509,CPE,Campeche,Campeche,14174,240
201509,CTM,Chetumal,Quintana Roo,14628,12
201509,CVM,Ciudad Victoria,Tamaulipas,6408,82
201509,GYM,Guaymas,Sonora,772,280
201509,LTO,Loreto,Baja California  Sur,887,1485
201509,MAM,Matamoros,Tamaulipas,8418,96
201509,NLD,Nuevo Laredo,Tamaulipas,6684,13
201509,NOG,Nogales,Sonora,98,7
201509,PAZ,Poza Rica,Veracruz,4276,0
201509,PBC,Puebla,Puebla,20393,6104
201509,PXM,Puerto Escondido,Oaxaca,12717,154
201509,TCN,Tehuacan,Puebla,174,0
201509,TPQ,Tepic,Nayarit,7739,0
201509,TSL,Tamuin,San Luis Potosi,139,0
201509,UPN,Uruapan,Michoacan,6635,985
201510,CEN,Ciudad Obregon,Sonora,20647,527
201510,CLQ,Colima,Colima,8417,59
201510,CME,Ciudad del Carmen,Campeche,48342,2534
201510,CPE,Campeche,Campeche,16618,283
201510,CTM,Chetumal,Quintana Roo,15171,7
201510,CVM,Ciudad Victoria,Tamaulipas,7827,120
201510,GYM,Guaymas,Sonora,891,427
201510,LTO,Loreto,Baja California  Sur,1245,2996
201510,MAM,Matamoros,Tamaulipas,8955,8
201510,NLD,Nuevo Laredo,Tamaulipas,7174,11
201510,NOG,Nogales,Sonora,156,22
201510,PAZ,Poza Rica,Veracruz,4666,0
201510,PBC,Puebla,Puebla,22396,6278
201510,PXM,Puerto Escondido,Oaxaca,13491,175
201510,TCN,Tehuacan,Puebla,252,0
201510,TPQ,Tepic,Nayarit,8466,0
201510,TSL,Tamuin,San Luis Potosi,63,0
201510,UPN,Uruapan,Michoacan,7475,1352
201511,CEN,Ciudad Obregon,Sonora,22540,630
201511,CLQ,Colima,Colima,11902,72
201511,CME,Ciudad del Carmen,Campeche,46957,2300
201511,CPE,Campeche,Campeche,15722,310
201511,CTM,Chetumal,Quintana Roo,18315,8
201511,CVM,Ciudad Victoria,Tamaulipas,5391,165
201511,GYM,Guaymas,Sonora,871,498
201511,LTO,Loreto,Baja California  Sur,1009,4098
201511,MAM,Matamoros,Tamaulipas,9845,62
201511,NLD,Nuevo Laredo,Tamaulipas,5748,39
201511,NOG,Nogales,Sonora,172,41
201511,PAZ,Poza Rica,Veracruz,4928,0
201511,PBC,Puebla,Puebla,22624,6364
201511,PXM,Puerto Escondido,Oaxaca,15320,306
201511,TCN,Tehuacan,Puebla,263,0
201511,TPQ,Tepic,Nayarit,11416,0
201511,TSL,Tamuin,San Luis Potosi,91,0
201511,UPN,Uruapan,Michoacan,8619,1120
201512,CEN,Ciudad Obregon,Sonora,24333,746
201512,CLQ,Colima,Colima,12295,66
201512,CME,Ciudad del Carmen,Campeche,56418,2432
201512,CPE,Campeche,Campeche,16330,234
201512,CTM,Chetumal,Quintana Roo,18830,10
201512,CVM,Ciudad Victoria,Tamaulipas,6038,170
201512,GYM,Guaymas,Sonora,1052,285
201512,LTO,Loreto,Baja California  Sur,1398,4051
201512,MAM,Matamoros,Tamaulipas,8421,7
201512,NLD,Nuevo Laredo,Tamaulipas,6250,13
201512,NOG,Nogales,Sonora,237,46
201512,PAZ,Poza Rica,Veracruz,4579,0
201512,PBC,Puebla,Puebla,23016,6150
201512,PXM,Puerto Escondido,Oaxaca,21871,294
201512,TCN,Tehuacan,Puebla,224,0
201512,TPQ,Tepic,Nayarit,14143,0
201512,TSL,Tamuin,San Luis Potosi,135,0
201512,UPN,Uruapan,Michoacan,10370,1445
201601,CEN,Ciudad Obregon,Sonora,19791,867
201601,CLQ,Colima,Colima,11731,82
201601,CME,Ciudad del Carmen,Campeche,48310,2454
201601,CPE,Campeche,Campeche,14207,291
201601,CTM,Chetumal,Quintana Roo,16656,17
201601,CVM,Ciudad Victoria,Tamaulipas,4846,76
201601,GYM,Guaymas,Sonora,639,328
201601,LTO,Loreto,Baja California  Sur,1076,5093
201601,MAM,Matamoros,Tamaulipas,8045,28
201601,NLD,Nuevo Laredo,Tamaulipas,5693,14
201601,NOG,Nogales,Sonora,200,32
201601,PAZ,Poza Rica,Veracruz,3560,0
201601,PBC,Puebla,Puebla,24019,5486
201601,PXM,Puerto Escondido,Oaxaca,19832,527
201601,TCN,Tehuacan,Puebla,301,0
201601,TPQ,Tepic,Nayarit,12106,0
201601,TSL,Tamuin,San Luis Potosi,134,0
201601,UPN,Uruapan,Michoacan,9590,1241
201602,CEN,Ciudad Obregon,Sonora,18489,356
201602,CLQ,Colima,Colima,10027,63
201602,CME,Ciudad del Carmen,Campeche,43446,1677
201602,CPE,Campeche,Campeche,12995,228
201602,CTM,Chetumal,Quintana Roo,14283,30
201602,CVM,Ciudad Victoria,Tamaulipas,5471,124
201602,GYM,Guaymas,Sonora,639,325
201602,LTO,Loreto,Baja California  Sur,1088,6335
201602,MAM,Matamoros,Tamaulipas,8564,11
201602,NLD,Nuevo Laredo,Tamaulipas,5754,1167
201602,NOG,Nogales,Sonora,235,32
201602,PAZ,Poza Rica,Veracruz,4033,0
201602,PBC,Puebla,Puebla,21171,4807
201602,PXM,Puerto Escondido,Oaxaca,14008,473
201602,TCN,Tehuacan,Puebla,238,0
201602,TPQ,Tepic,Nayarit,11180,0
201602,TSL,Tamuin,San Luis Potosi,155,0
201602,UPN,Uruapan,Michoacan,8248,1089
201603,CEN,Ciudad Obregon,Sonora,21279,703
201603,CLQ,Colima,Colima,11401,59
201603,CME,Ciudad del Carmen,Campeche,42927,1433
201603,CPE,Campeche,Campeche,14842,261
201603,CTM,Chetumal,Quintana Roo,19130,6
201603,CVM,Ciudad Victoria,Tamaulipas,7416,151
201603,GYM,Guaymas,Sonora,858,400
201603,LTO,Loreto,Baja California  Sur,2372,7054
201603,MAM,Matamoros,Tamaulipas,9341,0
201603,NLD,Nuevo Laredo,Tamaulipas,6430,2232
201603,NOG,Nogales,Sonora,185,44
201603,PAZ,Poza Rica,Veracruz,3576,0
201603,PBC,Puebla,Puebla,24290,4845
201603,PXM,Puerto Escondido,Oaxaca,20366,405
201603,TCN,Tehuacan,Puebla,319,0
201603,TPQ,Tepic,Nayarit,13518,0
201603,TSL,Tamuin,San Luis Potosi,152,0
201603,UPN,Uruapan,Michoacan,9467,1382
201604,CEN,Ciudad Obregon,Sonora,19324,556
201604,CLQ,Colima,Colima,10808,58
201604,CME,Ciudad del Carmen,Campeche,37795,1475
201604,CPE,Campeche,Campeche,14098,297
201604,CTM,Chetumal,Quintana Roo,15869,4
201604,CVM,Ciudad Victoria,Tamaulipas,5888,172
201604,GYM,Guaymas,Sonora,651,234
201604,LTO,Loreto,Baja California  Sur,1447,6029
201604,MAM,Matamoros,Tamaulipas,8876,9
201604,NLD,Nuevo Laredo,Tamaulipas,6412,71
201604,NOG,Nogales,Sonora,168,28
201604,PAZ,Poza Rica,Veracruz,3558,0
201604,PBC,Puebla,Puebla,23073,4193
201604,PXM,Puerto Escondido,Oaxaca,12549,216
201604,TCN,Tehuacan,Puebla,354,0
201604,TPQ,Tepic,Nayarit,12023,0
201604,TSL,Tamuin,San Luis Potosi,186,0
201604,UPN,Uruapan,Michoacan,8565,1130
201605,CEN,Ciudad Obregon,Sonora,22053,480
201605,CLQ,Colima,Colima,11363,53
201605,CME,Ciudad del Carmen,Campeche,37848,1627
201605,CPE,Campeche,Campeche,15039,329
201605,CTM,Chetumal,Quintana Roo,17483,6
201605,CVM,Ciudad Victoria,Tamaulipas,5854,111
201605,GYM,Guaymas,Sonora,775,368
201605,LTO,Loreto,Baja California  Sur,1602,4055
201605,MAM,Matamoros,Tamaulipas,8145,8
201605,NLD,Nuevo Laredo,Tamaulipas,6827,37
201605,NOG,Nogales,Sonora,251,18
201605,PAZ,Poza Rica,Veracruz,2906,0
201605,PBC,Puebla,Puebla,25151,4667
201605,PXM,Puerto Escondido,Oaxaca,14485,335
201605,TCN,Tehuacan,Puebla,279,0
201605,TPQ,Tepic,Nayarit,13217,0
201605,TSL,Tamuin,San Luis Potosi,90,0
201605,UPN,Uruapan,Michoacan,8435,1147
201606,CEN,Ciudad Obregon,Sonora,19718,566
201606,CLQ,Colima,Colima,12102,45
201606,CME,Ciudad del Carmen,Campeche,36723,1576
201606,CPE,Campeche,Campeche,13025,232
201606,CTM,Chetumal,Quintana Roo,17769,10
201606,CVM,Ciudad Victoria,Tamaulipas,7576,122
201606,GYM,Guaymas,Sonora,1055,314
201606,LTO,Loreto,Baja California  Sur,1444,3767
201606,MAM,Matamoros,Tamaulipas,8143,13
201606,NLD,Nuevo Laredo,Tamaulipas,6411,24
201606,NOG,Nogales,Sonora,200,13
201606,PAZ,Poza Rica,Veracruz,2854,0
201606,PBC,Puebla,Puebla,24711,4704
201606,PXM,Puerto Escondido,Oaxaca,15858,220
201606,TCN,Tehuacan,Puebla,279,0
201606,TPQ,Tepic,Nayarit,12104,0
201606,TSL,Tamuin,San Luis Potosi,319,0
201606,UPN,Uruapan,Michoacan,8553,1541
201607,CEN,Ciudad Obregon,Sonora,22638,485
201607,CLQ,Colima,Colima,12560,67
201607,CME,Ciudad del Carmen,Campeche,36671,1390
201607,CPE,Campeche,Campeche,14753,242
201607,CTM,Chetumal,Quintana Roo,19772,30
201607,CVM,Ciudad Victoria,Tamaulipas,4045,95
201607,GYM,Guaymas,Sonora,789,326
201607,LTO,Loreto,Baja California  Sur,1954,3577
201607,MAM,Matamoros,Tamaulipas,8546,10
201607,NLD,Nuevo Laredo,Tamaulipas,7661,28
201607,NOG,Nogales,Sonora,155,25
201607,PAZ,Poza Rica,Veracruz,3042,0
201607,PBC,Puebla,Puebla,29615,5162
201607,PXM,Puerto Escondido,Oaxaca,25698,245
201607,TCN,Tehuacan,Puebla,367,0
201607,TPQ,Tepic,Nayarit,12287,0
201607,TSL,Tamuin,San Luis Potosi,192,0
201607,UPN,Uruapan,Michoacan,12168,1247
201608,CEN,Ciudad Obregon,Sonora,21353,548
201608,CLQ,Colima,Colima,12339,41
201608,CME,Ciudad del Carmen,Campeche,35344,1204
201608,CPE,Campeche,Campeche,16075,152
201608,CTM,Chetumal,Quintana Roo,18186,31
201608,CVM,Ciudad Victoria,Tamaulipas,4421,150
201608,GYM,Guaymas,Sonora,762,101
201608,LTO,Loreto,Baja California  Sur,1707,1464
201608,MAM,Matamoros,Tamaulipas,8881,8
201608,NLD,Nuevo Laredo,Tamaulipas,7185,16
201608,NOG,Nogales,Sonora,133,7
201608,PAZ,Poza Rica,Veracruz,3031,0
201608,PBC,Puebla,Puebla,30423,4866
201608,PXM,Puerto Escondido,Oaxaca,23026,241
201608,TCN,Tehuacan,Puebla,256,0
201608,TPQ,Tepic,Nayarit,14514,0
201608,TSL,Tamuin,San Luis Potosi,118,0
201608,UPN,Uruapan,Michoacan,10472,1214
201609,CEN,Ciudad Obregon,Sonora,18314,362
201609,CLQ,Colima,Colima,10718,49
201609,CME,Ciudad del Carmen,Campeche,30146,1124
201609,CPE,Campeche,Campeche,15149,209
201609,CTM,Chetumal,Quintana Roo,16964,13
201609,CVM,Ciudad Victoria,Tamaulipas,7759,182
201609,GYM,Guaymas,Sonora,588,197
201609,LTO,Loreto,Baja California  Sur,1351,1316
201609,MAM,Matamoros,Tamaulipas,6912,16
