Anio mes,Codigo IATA,Descripcion,Estado,Pasajeros nacionales,Pasajeros internacionales
201707,CPE,Campeche,Campeche,16123,184
201707,CTM,Chetumal,Quintana Roo,26093,22
201707,CVM,Ciudad Victoria,Tamaulipas,3914,178
201707,GYM,Guaymas,Sonora,817,192
201707,IZT,Ixtepec,Oaxaca,1536,0
201707,LTO,Loreto,Baja California  Sur,2166,4251
201707,MAM,Matamoros,Tamaulipas,8300,3
201707,NLD,Nuevo Laredo,Tamaulipas,8325,15
201707,NOG,Nogales,Sonora,124,2
201707,PAZ,Poza Rica,Veracruz,2323,0
201707,PBC,Puebla,Puebla,42361,5489
201707,PXM,Puerto Escondido,Oaxaca,23091,234
201707,TCN,Tehuacan,Puebla,329,0
201707,TPQ,Tepic,Nayarit,12357,0
201707,TSL,Tamuin,San Luis Potosi,136,0
201707,UPN,Uruapan,Michoacan,13151,888
